,Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
583,1552,MERCEDES-BENZ CL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7,14,21,17,4,no
584,1555,MERCEDES-BENZ CL600,5.5,12,Auto-L5,2WD,Gasoline,small car,6,11,17,13,1,no
585,1557,MERCEDES-BENZ CL63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6,11,18,14,2,no
586,1559,MERCEDES-BENZ CL65 AMG,5.5,12,Auto-S5,2WD,Gasoline,small car,6,11,17,13,1,no
587,1565,MERCEDES-BENZ CLK63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6,12,19,14,2,no
588,1567,MERCEDES-BENZ CLK63 AMG Cabriolet,6.2,8,Auto-S7,2WD,Gasoline,small car,6,12,18,14,2,no
589,1570,MERCEDES-BENZ CLS63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6,12,18,14,2,no
590,1572,MERCEDES-BENZ E350,3.5,6,Auto-L7,2WD,Gasoline,midsize car,9.5,17,24,19,5,no
591,1576,MERCEDES-BENZ E550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,midsize car,7,13,19,16,4,no
592,1579,MERCEDES-BENZ E63 AMG,6.2,8,Auto-S7,2WD,Gasoline,midsize car,6,12,19,15,3,no
593,1581,MERCEDES-BENZ E63 AMG Wagon,6.2,8,Auto-S7,2WD,Gasoline,station wagon,6,12,18,14,2,no
594,1583,MERCEDES-BENZ G500,5.0,8,Auto-L7,4WD,Gasoline,SUV,6,12,15,13,1,no
595,1585,MERCEDES-BENZ G55 AMG,5.4,8,Auto-L5,4WD,Gasoline,SUV,6,11,13,12,0,no
596,1587,MERCEDES-BENZ GL450 4Matic,4.6,8,Auto-L7,4WD,Gasoline,SUV,7,13,18,15,3,no
597,1589,MERCEDES-BENZ GL550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7,13,17,14,2,no
598,1592,MERCEDES-BENZ ML350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7,15,20,17,4,no
599,1594,MERCEDES-BENZ ML550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7,13,18,15,3,no
600,1597,MERCEDES-BENZ Maybach 57,5.5,12,Auto-L5,2WD,Gasoline,large car,6,10,16,12,0,no
601,1599,MERCEDES-BENZ Maybach 57S,6.0,12,Auto-L5,2WD,Gasoline,large car,6,10,16,12,0,no
602,1601,MERCEDES-BENZ Maybach 62,5.5,12,Auto-L5,2WD,Gasoline,large car,6,10,16,12,0,no
603,1603,MERCEDES-BENZ Maybach 62S,6.0,12,Auto-L5,2WD,Gasoline,large car,6,10,16,12,0,no
604,1605,MERCEDES-BENZ R350,3.5,6,Auto-L7,2WD,Gasoline,SUV,7,15,20,17,4,no
605,1607,MERCEDES-BENZ R350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7,15,19,16,4,no
606,1609,MERCEDES-BENZ S550,5.5,8,Auto-L7,2WD,Gasoline,large car,7,14,21,16,4,no
607,1611,MERCEDES-BENZ S550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,large car,7,14,20,16,4,no
608,1614,MERCEDES-BENZ S600,5.5,12,Auto-L5,2WD,Gasoline,large car,6,11,17,13,1,no
609,1616,MERCEDES-BENZ S63 AMG,6.2,8,Auto-S7,2WD,Gasoline,large car,6,11,17,13,1,no
